author,poem,language,name,tags
Владимир Соловьев,"Дождались меня белые ночи
Над простором густых островов…
Снова смотрят знакомые очи,
И мелькает былое без слов.
В царство времени всё я не верю,
Силу сердца еще берегу,
Роковую не скрою потерю,
Но сказать «навсегда» — не могу.
При мерцании долгом заката,
Пред минутной дремотою дня,
Что погиб его свет без возврата,
В эту ночь не уверишь меня.
",RU,Владимир Соловьев,[]
Сергей Есенин,"В этот лес завороженный,
По пушинкам серебра,
Я с винтовкой заряженной
На охоту шел вчера.
По дорожке чистой, гладкой
Я прошел, не наследил…
Кто ж катался здесь украдкой?
Кто здесь падал и ходил?
Подойду, взгляну поближе:
Хрупкий снег изломан весь.
Здесь вот когти, дальше — лыжи…
Кто-то странный бегал здесь.
Кабы твердо знал я тайну
Заколдованным речам,
Я узнал бы хоть случайно,
Кто здесь бродит по ночам.
Из-за елки бы высокой
Подсмотрел я на кругу:
Кто глубокий след далекий
Оставляет на снегу?..
",RU,Что это такое?,"['Для детей', 'О природе', 'Серебряный век', 'Стихи Сергея Есенина – Для детей', 'Стихи Сергея Есенина – О природе', 'Стихи Сергея Есенина – Серебряный век']"
Александр Пушкин,"У лукоморья дуб зелёный;
Златая цепь на дубе том:
И днём и ночью кот учёный
Всё ходит по цепи кругом;
Идёт направо — песнь заводит,
Налево — сказку говорит.
Там чудеса: там леший бродит,
Русалка на ветвях сидит;
Там на неведомых дорожках
Следы невиданных зверей;
Избушка там на курьих ножках
Стоит без окон, без дверей;
Там лес и дол видений полны;
Там о заре прихлынут волны
На брег песчаный и пустой,
И тридцать витязей прекрасных
Чредой из вод выходят ясных,
И с ними дядька их морской;
Там королевич мимоходом
Пленяет грозного царя;
Там в облаках перед народом
Через леса, через моря
Колдун несёт богатыря;
В темнице там царевна тужит,
А бурый волк ей верно служит;
Там ступа с Бабою Ягой
Идёт, бредёт сама собой,
Там царь Кащей над златом чахнет;
Там русский дух… там Русью пахнет!
И там я был, и мёд я пил;
У моря видел дуб зелёный;
Под ним сидел, и кот учёный
Свои мне сказки говорил.
Читать полное произведение.
",RU,У лукоморья дуб зелёный (отрывок из поэмы «Руслан и Людмила»),"['Для детей', 'Золотой век', 'Стихи Александра Пушкина – Для детей', 'Стихи Александра Пушкина – Золотой век']"
Михаил Лермонтов,"— Скажи-ка, дядя, ведь недаром
Москва, спаленная пожаром,
Французу отдана?
Ведь были ж схватки боевые,
Да, говорят, еще какие!
Недаром помнит вся Россия
Про день Бородина!
— Да, были люди в наше время,
Не то, что нынешнее племя:
Богатыри — не вы!
Плохая им досталась доля:
Немногие вернулись с поля…
Не будь на то господня воля,
Не отдали б Москвы!
Мы долго молча отступали,
Досадно было, боя ждали,
Ворчали старики:
«Что ж мы? на зимние квартиры?
Не смеют, что ли, командиры
Чужие изорвать мундиры
О русские штыки?»
И вот нашли большое поле:
Есть разгуляться где на воле!
Построили редут.
У наших ушки на макушке!
Чуть утро осветило пушки
И леса синие верхушки —
Французы тут как тут.
Забил заряд я в пушку туго
И думал: угощу я друга!
Постой-ка, брат мусью!
Что тут хитрить, пожалуй к бою;
Уж мы пойдем ломить стеною,
Уж постоим мы головою
За родину свою!
Два дня мы были в перестрелке.
Что толку в этакой безделке?
Мы ждали третий день.
Повсюду стали слышны речи:
«Пора добраться до картечи!»
И вот на поле грозной сечи
Ночная пала тень.
Прилег вздремнуть я у лафета,
И слышно было до рассвета,
Как ликовал француз.
Но тих был наш бивак открытый:
Кто кивер чистил весь избитый,
Кто штык точил, ворча сердито,
Кусая длинный ус.
И только небо засветилось,
Все шумно вдруг зашевелилось,
Сверкнул за строем строй.
Полковник наш рожден был хватом:
Слуга царю, отец солдатам…
Да, жаль его: сражен булатом,
Он спит в земле сырой.
И молвил он, сверкнув очами:
«Ребята! не Москва ль за нами?
Умремте же под Москвой,
Как наши братья умирали!»
И умереть мы обещали,
И клятву верности сдержали
Мы в Бородинский бой.
Ну ж был денек! Сквозь дым летучий
Французы двинулись, как тучи,
И всё на наш редут.
Уланы с пестрыми значками,
Драгуны с конскими хвостами,
Все промелькнули перед нами,
Все побывали тут.
Вам не видать таких сражений!..
Носились знамена, как тени,
В дыму огонь блестел,
Звучал булат, картечь визжала,
Рука бойцов колоть устала,
И ядрам пролетать мешала
Гора кровавых тел.
Изведал враг в тот день немало,
Что значит русский бой удалый,
Наш рукопашный бой!..
Земля тряслась — как наши груди,
Смешались в кучу кони, люди,
И залпы тысячи орудий
Слились в протяжный вой…
Вот смерклось. Были все готовы
Заутра бой затеять новый
И до конца стоять…
Вот затрещали барабаны —
И отступили бусурманы.
Тогда считать мы стали раны,
Товарищей считать.
Да, были люди в наше время,
Могучее, лихое племя:
Богатыри — не вы.
Плохая им досталась доля:
Немногие вернулись с поля.
Когда б на то не божья воля,
Не отдали б Москвы!
",RU,Бородино,"['О войне', 'О родине', 'Для детей', 'Длинные', 'О Москве', 'Золотой век', 'Стихи Михаила Лермонтова – О войне', 'Стихи Михаила Лермонтова – О родине', 'Стихи Михаила Лермонтова – Для детей', 'Стихи Михаила Лермонтова – Длинные', 'Стихи Михаила Лермонтова – О Москве', 'Стихи Михаила Лермонтова – Золотой век']"
Александр Пушкин,"Я к вам пишу — чего же боле?
Что я могу еще сказать?
Теперь, я знаю, в вашей воле
Меня презреньем наказать.
Но вы, к моей несчастной доле
Хоть каплю жалости храня,
Вы не оставите меня.
Сначала я молчать хотела;
Поверьте: моего стыда
Вы не узнали б никогда,
Когда б надежду я имела
Хоть редко, хоть в неделю раз
В деревне нашей видеть вас,
Чтоб только слышать ваши речи,
Вам слово молвить, и потом
Все думать, думать об одном
И день и ночь до новой встречи.
Но, говорят, вы нелюдим;
В глуши, в деревне всё вам скучно,
А мы… ничем мы не блестим,
Хоть вам и рады простодушно.
Зачем вы посетили нас?
В глуши забытого селенья
Я никогда не знала б вас,
Не знала б горького мученья.
Души неопытной волненья
Смирив со временем (как знать?),
По сердцу я нашла бы друга,
Была бы верная супруга
И добродетельная мать.
Другой!.. Нет, никому на свете
Не отдала бы сердца я!
То в вышнем суждено совете…
То воля неба: я твоя;
Вся жизнь моя была залогом
Свиданья верного с тобой;
Я знаю, ты мне послан богом,
До гроба ты хранитель мой…
Ты в сновиденьях мне являлся,
Незримый, ты мне был уж мил,
Твой чудный взгляд меня томил,
В душе твой голос раздавался
Давно… нет, это был не сон!
Ты чуть вошел, я вмиг узнала,
Вся обомлела, запылала
И в мыслях молвила: вот он!
Не правда ль? Я тебя слыхала:
Ты говорил со мной в тиши,
Когда я бедным помогала
Или молитвой услаждала
Тоску волнуемой души?
И в это самое мгновенье
Не ты ли, милое виденье,
В прозрачной темноте мелькнул,
Приникнул тихо к изголовью?
Не ты ль, с отрадой и любовью,
Слова надежды мне шепнул?
Кто ты, мой ангел ли хранитель,
Или коварный искуситель:
Мои сомненья разреши.
Быть может, это все пустое,
Обман неопытной души!
И суждено совсем иное…
Но так и быть! Судьбу мою
Отныне я тебе вручаю,
Перед тобою слезы лью,
Твоей защиты умоляю…
Вообрази: я здесь одна,
Никто меня не понимает,
Рассудок мой изнемогает,
И молча гибнуть я должна.
Я жду тебя: единым взором
Надежды сердца оживи
Иль сон тяжелый перерви,
Увы, заслуженным укором!
Кончаю! Страшно перечесть…
Стыдом и страхом замираю…
Но мне порукой ваша честь,
И смело ей себя вверяю…
Читать полное произведение
",RU,Письмо Татьяны к Онегину (отрывок из романа «Евгений Онегин»),"['О любви', 'Золотой век', 'Стихи Александра Пушкина – О любви', 'Стихи Александра Пушкина – Золотой век']"
Константин Симонов,"Жди меня, и я вернусь.
Только очень жди,
Жди, когда наводят грусть
Желтые дожди,
Жди, когда снега метут,
Жди, когда жара,
Жди, когда других не ждут,
Позабыв вчера.
Жди, когда из дальних мест
Писем не придет,
Жди, когда уж надоест
Всем, кто вместе ждет.
Жди меня, и я вернусь,
Не желай добра
Всем, кто знает наизусть,
Что забыть пора.
Пусть поверят сын и мать
В то, что нет меня,
Пусть друзья устанут ждать,
Сядут у огня,
Выпьют горькое вино
На помин души…
Жди. И с ними заодно
Выпить не спеши.
Жди меня, и я вернусь,
Всем смертям назло.
Кто не ждал меня, тот пусть
Скажет: — Повезло.
Не понять, не ждавшим им,
Как среди огня
Ожиданием своим
Ты спасла меня.
Как я выжил, будем знать
Только мы с тобой, -
Просто ты умела ждать,
Как никто другой.
",RU,"Жди меня, и я вернусь…","['О войне', 'О родине', 'О любви', 'Для детей', 'Советские', 'Стихи Константина Симонова – О войне', 'Стихи Константина Симонова – О родине', 'Стихи Константина Симонова – О любви', 'Стихи Константина Симонова – Для детей', 'Стихи Константина Симонова – Советские']"
Владимир Высоцкий,"У неё всё своё — и бельё, и жильё,
Ну, а я ангажирую угол у тёти.
Для неё — всё свободное время моё,
На неё я гляжу из окна, что напротив.
У неё каждый вечер не гаснет окно,
И вчера мне лифтёр рассказал за полбанки:
У неё два знакомых артиста кино
И один популярный артист из «Таганки».
И пока у меня в ихнем ЖЭКе рука,
Про неё я узнал очень много нюансов:
У неё старший брат — футболист «Спартака»,
А отец — референт в Министерстве финансов.
Я скажу, что всегда на футболы хожу,
На «Спартак», — и слова восхищенья о брате.
Я скажу, что с министром финансов дружу
И что сам как любитель играю во МХАТе.
У неё, у неё на окошке — герань,
У неё, у неё — занавески в разводах,
У меня, у меня на окне — ни хера,
Только пыль, только толстая пыль на комодах…
Ничего, я куплю лотерейный билет,
И тогда мне останется ждать так недолго.
И хотя справедливости в мире как нет —
По нему обязательно выиграю «Волгу».
",RU,У неё всё своё,"['О женщине', 'О любви', 'Советские', 'Стихи Владимира Высоцкого – О женщине', 'Стихи Владимира Высоцкого – О любви', 'Стихи Владимира Высоцкого – Советские']"
Владимир Высоцкий,"Вот она, вот она -
Наших душ глубина,
В ней два сердца плывут, как одно, -
Пора занавесить окно.
Пусть в нашем прошлом будут рыться люди странные,
И пусть сочтут они, что стоит все его приданное, -
Давно назначена цена
И за обоих внесена -
Одна любовь, любовь одна.
Холодна, холодна
Голых стен белизна, -
Но два сердца стучат, как одно,
И греют, и — настежь окно!
Но перестал дарить цветы он просто так, не к случаю,
Любую женщину в кафе теперь считает лучшею.
И улыбается она
Случайным людям у окна,
И привыкает засыпать одна.
",RU,"Вот она, вот она…","['О любви', 'Советские', 'Стихи Владимира Высоцкого – О любви', 'Стихи Владимира Высоцкого – Советские']"
Сергей Есенин,"Вы помните,
Вы всё, конечно, помните,
Как я стоял,
Приблизившись к стене,
Взволнованно ходили вы по комнате
И что-то резкое
В лицо бросали мне.
Вы говорили:
Нам пора расстаться,
Что вас измучила
Моя шальная жизнь,
Что вам пора за дело приниматься,
А мой удел —
Катиться дальше, вниз.
Любимая!
Меня вы не любили.
Не знали вы, что в сонмище людском
Я был как лошадь, загнанная в мыле,
Пришпоренная смелым ездоком.
Не знали вы,
Что я в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь, что не пойму —
Куда несет нас рок событий.
Лицом к лицу
Лица не увидать.
Большое видится на расстоянье.
Когда кипит морская гладь —
Корабль в плачевном состоянье.
Земля — корабль!
Но кто-то вдруг
За новой жизнью, новой славой
В прямую гущу бурь и вьюг
Ее направил величаво.
Ну кто ж из нас на палубе большой
Не падал, не блевал и не ругался?
Их мало, с опытной душой,
Кто крепким в качке оставался.
Тогда и я,
Под дикий шум,
Но зрело знающий работу,
Спустился в корабельный трюм,
Чтоб не смотреть людскую рвоту.
Тот трюм был —
Русским кабаком.
И я склонился над стаканом,
Чтоб, не страдая ни о ком,
Себя сгубить
В угаре пьяном.
Любимая!
Я мучил вас,
У вас была тоска
В глазах усталых:
Что я пред вами напоказ
Себя растрачивал в скандалах.
Но вы не знали,
Что в сплошном дыму,
В развороченном бурей быте
С того и мучаюсь,
Что не пойму,
Куда несет нас рок событий…
Теперь года прошли.
Я в возрасте ином.
И чувствую и мыслю по-иному.
И говорю за праздничным вином:
Хвала и слава рулевому!
Сегодня я
В ударе нежных чувств.
Я вспомнил вашу грустную усталость.
И вот теперь
Я сообщить вам мчусь,
Каков я был,
И что со мною сталось!
Любимая!
Сказать приятно мне:
Я избежал паденья с кручи.
Теперь в Советской стороне
Я самый яростный попутчик.
Я стал не тем,
Кем был тогда.
Не мучил бы я вас,
Как это было раньше.
За знамя вольности
И светлого труда
Готов идти хоть до Ла-Манша.
Простите мне…
Я знаю: вы не та —
Живете вы
С серьезным, умным мужем;
Что не нужна вам наша маета,
И сам я вам
Ни капельки не нужен.
Живите так,
Как вас ведет звезда,
Под кущей обновленной сени.
С приветствием,
Вас помнящий всегда
Знакомый ваш
Сергей Есенин.
",RU,Письмо к женщине,"['Для детей', 'О женщине', 'О любви', 'О жизни', 'Серебряный век', 'Длинные', 'Стихи Сергея Есенина – Для детей', 'Стихи Сергея Есенина – О женщине', 'Стихи Сергея Есенина – О любви', 'Стихи Сергея Есенина – О жизни', 'Стихи Сергея Есенина – Серебряный век', 'Стихи Сергея Есенина – Длинные']"
Владимир Высоцкий,"Вот это да, вот это да!
Сквозь мрак и вечность-решето,
Из зала Страшного суда
Явилось то — не знаю что.
Играйте туш!
Быть может, он —
Умерший муж
Несчастных жен,
Больных детей
Больной отец,
Благих вестей
Шальной гонец.
Вот это да, вот это да!
Спустился к нам — не знаем кто, —
Как снег на голову суда,
Упал тайком, инкогнито!
Но кто же он?
Хитрец и лгун?
Или — шпион,
Или колдун?
Каких дворцов
Он господин,
Каких отцов
Заблудший сын?
Вот это да, вот это да!
И я спросил, как он рискнул, —
Из ниоткуда в никуда
Перешагнул, перешагнул?
Он мне: «Внемли!»
И я внимал,
Что он с Земли
Вчера сбежал,
Решил: «Нырну
Я в гладь и тишь!»
Но в тишину
Без денег — шиш!
Мол, прошмыгну
Как мышь, как вошь,
Но в тишину
Не прошмыгнешь!
Вот это да, вот это да!
Он повидал печальный край, -
В аду — бардак и лабуда, —
И он опять — в наш грешный рай.
Итак, оттуда
Он удрал,
Его Иуда
Обыграл —
И в «тридцать три»,
И в «сто одно».
Смотри, смотри!
Он видел дно,
Он видел ад,
Но сделал он
Свой шаг назад —
И воскрешен!
Вот это да, вот это да!
Прошу любить, играйте марш!
Мак-Кинли — маг, суперзвезда,
Мессия наш, мессия наш!
Владыка тьмы
Его отверг,
Но примем мы —
Он человек!
Душ не губил
Сей славный муж,
Самоубий-
ство — просто чушь,
Хоть это де-
шево и враз —
Не проведешь
Его и нас!
Вот это да, вот это да!
Вскричал петух, и пробил час.
Мак-Кинли — бог, суперзвезда, -
Он — среди нас, он — среди нас!
Он рассудил,
Что Вечность — хлам,
И запылил
На свалку к нам.
Он даже спьяну
Не дурил,
Марихуану
Не курил,
И мы хотим
Отдать концы,
Мы бегством мстим,
Мы — беглецы!
Вот это да! Вот это да!
",RU,Вот это да,"['Философские', 'Длинные', 'Советские', 'Стихи Владимира Высоцкого – Философские', 'Стихи Владимира Высоцкого – Длинные', 'Стихи Владимира Высоцкого – Советские']"
